CASENO,SEVERITY,ACCDATE,ACCTIME,NOVEH,NOINJ,NOKILLED,INNEAR,COMMNAME,UGRID,USTREET1,USTREET2,UBLOCK,ROADAUTH,CTRLSECT,ATKM,RM,SIDEOF,QTR,SEC,TWP,RGE,MER,OTHERLOC
1406760,INJURY,2002-01-09,2020,2,1,0,IN,SASKATOON,SKN12-43,KINGSMERE BLVD,WHITEWOOD - WOLLASTON W,,URBAN,,0,,,,,,,,
1331949,INJURY,2002-01-11,1205,2,1,0,IN,REGINA,RE709320,TRUESDALE DR E,UNIV PK DR,,URBAN,,0,,,,,,,,
1349676,INJURY,2002-01-24,1643,2,1,0,IN,REGINA,RE689130,ALBERT ST,GORDON RD,,URBAN,,0,,,,,,,,
1407758,INJURY,2002-01-25,1036,2,2,0,IN,SASKATOON,SKG9-53,MCPHERSON AVE,SASKATCHEWAN CR,,URBAN,,0,,,,,,,,
1406679,INJURY,2002-02-04,1809,2,1,0,IN,SASKATOON,SKE5-5,33RD ST,AVE L,,URBAN,,0,,,,,,,,
1349612,INJURY,2002-02-26,1204,2,1,0,IN,REGINA,RE44200,BROADWAY AVE,900-999,,URBAN,,0,,,,,,,,
1177461,INJURY,2002-03-07,1535,2,1,0,IN,YORKTON,,GLADSTONE ST N,,150,URBAN,,0,,,,,,,,
1348567,INJURY,2002-03-07,1801,2,1,0,IN,REGINA,RE224300,LOCKWOOD RD,100-170,,URBAN,,0,,,,,,,,
1151903,INJURY,2002-03-18,1750,2,1,0,IN,REGINA,RE6500,ALBERT ST,751-899,,URBAN,,0,,,,,,,,
1405264,INJURY,2002-04-12,2025,2,1,0,IN,SASKATOON,SKJ9-1,8TH ST,CUMBERLAND AVE,,URBAN,,0,,,,,,,,
1345342,INJURY,2002-04-18,1725,2,1,0,IN,REGINA,RE708710,SALEMKA CR,SANGSTER BLVD W INT,,URBAN,,0,,,,,,,,
1345204,INJURY,2002-04-23,1237,2,1,0,IN,REGINA,RE689010,ALBERT ST,SASKATCHEWAN DR,,URBAN,,0,,,,,,,,
1349960,INJURY,2002-04-23,1612,2,1,0,IN,REGINA,RE40500,BROAD ST,500-655,,URBAN,,0,,,,,,,,
1311169,INJURY,2002-04-24,1615,2,1,0,IN,NORTH BATTLEFORD,NBF54,8TH AVE,110TH ST,,URBAN,,0,,,,,,,,
1222706,INJURY,2002-04-25,1555,2,1,0,IN,LLOYDMINSTER,,42ND ST,48TH AVE,,URBAN,,0,,,,,,,,
1174396,INJURY,2002-04-27,230,2,1,0,IN,REGINA,RE704510,MACPHERSON AVE,MASSEY RD,,URBAN,,0,,,,,,,,
1293666,INJURY,2002-04-28,1405,2,1,0,IN,PRINCE ALBERT,PA06AE08,6TH AVE E,800,,URBAN,,0,,,,,,,,
1245465,INJURY,2002-05-01,1640,2,1,0,IN,SASKATOON,SKL10-28,7TH ST,PRESTON AVE,,URBAN,,0,,,,,,,,
1345205,INJURY,2002-05-01,1019,2,1,0,IN,REGINA,RE689910,ARCOLA AVE E,PARK ST,,URBAN,,0,,,,,,,,
1438438,INJURY,2002-05-02,830,2,1,0,IN,SASKATOON,SKE6-41,29TH ST,MCMILLAN AVE,,URBAN,,0,,,,,,,,
1278292,INJURY,2002-05-04,1005,2,1,0,IN,REGINA,RE685430,7TH AVE,ELPHINSTONE ST,,URBAN,,0,,,,,,,,
1438931,INJURY,2002-05-06,1700,2,1,0,IN,SASKATOON,SKC7-2,22ND ST,2400 W AVE X - AVE Y,,URBAN,,0,,,,,,,,
1344051,INJURY,2002-05-08,1303,2,1,0,IN,REGINA,RE678500,17TH AVE,CORONATION ST,,URBAN,,0,,,,,,,,
1403192,INJURY,2002-05-08,2100,2,1,0,IN,SASKATOON,SKN6-1,108TH ST,CENTRAL AVE,,URBAN,,0,,,,,,,,
1323988,INJURY,2002-05-13,1534,2,1,0,IN,SASKATOON,SKF7-26,AVE C,300 N 24TH - 25TH,,URBAN,,0,,,,,,,,
1326594,INJURY,2002-05-13,830,2,1,0,IN,SASKATOON,SKM11-6,ARLINGTON AVE,1846  BALDWIN CR - TAYLOR,,URBAN,,0,,,,,,,,
1407438,INJURY,2002-05-14,655,2,1,0,IN,SASKATOON,SKO11-3,TAYLOR ST,HERITAGE - WAY,,URBAN,,0,,,,,,,,
1344058,INJURY,2002-05-16,1830,2,1,0,IN,REGINA,RE675040,10TH AVE,ELPHINSTONE ST,,URBAN,,0,,,,,,,,
1343797,INJURY,2002-05-17,10,2,1,0,IN,REGINA,RE689030,ALBERT ST,VICTORIA AVE,,URBAN,,0,,,,,,,,
1191459,INJURY,2002-05-21,2125,2,1,0,IN,MOOSOMIN,,MOOSE ST,WINDOVER AVE,,URBAN,,0,,,,,,,,
1324348,INJURY,2002-05-21,1723,2,1,0,IN,SASKATOON,SKE8-46,20TH ST,AVE P,,URBAN,,0,,,,,,,,
1439730,INJURY,2002-05-22,1230,2,1,0,IN,MOOSE JAW,,12TH AVE SW,IROQUOIS ST W,,URBAN,,0,,,,,,,,
1191623,INJURY,2002-05-24,1215,2,1,0,IN,ROCANVILLE,,ELLICE ST,SELKIRK AVE,,URBAN,,0,,,,,,,,
1439534,INJURY,2002-05-25,1540,2,1,0,IN,MOOSE JAW,,1ST AVE NW,HIGH ST W,,URBAN,,0,,,,,,,,
1343987,INJURY,2002-05-27,1345,2,1,0,IN,REGINA,RE40300,BROAD ST,751-776,,URBAN,,0,,,,,,,,
1439264,INJURY,2002-05-27,910,2,1,0,IN,SASKATOON,SKL12-8,JARVIS DR,PRESTON AVE,,URBAN,,0,,,,,,,,
